"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"396","chr2",9865806,0.203101105054474,0.000760450643079548,0.202340654411394,0.0700299538683575,2.8893443909981,0.0123285175498437,0.0281892057739153,0.00386046020687044,0.999491979020978,"Gata3","NM_001355110 NM_001355111 NM_001355112 NM_008091 NP_001342039 NP_001342040 NP_001342041 NP_032117 XM_006497354 XM_030247532 XM_030247533 XP_006497417 XP_030103392 XP_030103393","inside intron","inside",7866,"inside intron",-2585,3,3,"inside transcription region","-",10489,NA,"14462",17664
"1023","chr2",9879400,0.000504641329043551,0.367687058077548,-0.367182416748505,0.155440705230145,-2.36220246302186,0.0161870239520779,0.0272445307800832,0.0181667177194749,0.999491979020978,"Gata3","NM_001355110 NM_001355111 NM_001355112 NM_008091 NP_001342039 NP_001342040 NP_001342041 NP_032117 XM_006497354 XM_030247532 XM_030247533 XP_006497417 XP_030103392 XP_030103393","promoter","promoter",800,NA,NA,NA,6,NA,"-",21522,NA,"14462",17663
"1986","chr4",128790051,0.515276882826491,0.00413828126010501,0.511138601566386,0.217086810738312,2.35453549585995,0.0156223079052552,0.0281658159664329,0.0185458723430009,0.999491979020978,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","inside exon","inside",41,"inside exon",0,1,2,"inside transcription region","-",771,NA,"230761",45395
"2621","chr4",128806141,0.0018539806899564,0.704659802540295,-0.702805821850339,0.300288213834634,-2.34043758453126,0.0161375781283075,0.0281644458859649,0.0192611575868078,0.999491979020978,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","promoter","promoter",96,NA,NA,NA,7,NA,"-",28961,NA,"230761",45394
"5436","chrX",7579234,0.337285401019807,0.00154674052552747,0.33573866049428,0.148281837417636,2.2641927449865,0.0149476118819954,0.0281706953097635,0.023562262613947,0.999491979020978,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",333,NA,NA,NA,12,NA,"+",14232,NA,"20371",31443
"1549","chr4",128776990,0.1941759195014,0.001568285951609,0.192607633549791,0.0864514879954783,2.22792733839197,0.0141596387508599,0.028172008672955,0.0258853607936289,0.999491979020978,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",13102,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"4752","chr12",119241913,0.1128991234248,0.000702706915394445,0.112196416509406,0.0508368627679247,2.20698938527331,0.0118207723836196,0.0281838801100121,0.0273148009299952,0.999491979020978,"Itgb8","NM_177290 NP_796264 XM_036157503 XP_036013396","upstream","upstream",3111,NA,NA,NA,14,NA,"-",80780,NA,"320910",59979
"244","chr1",131022065,0.133520332064864,0.000973933832942333,0.132546398231921,0.0608533669777495,2.17812760106414,0.0125510859033858,0.0281787214955486,0.0293965382287661,0.999491979020978,"Il10","NM_010548 NP_034678 XM_036162094 XP_036017987","inside intron","inside",2220,"inside intron",423,4,5,"inside transcription region","+",5129,NA,"16153",20340
"1351","chr3",94384158,0.153276742812964,0.00141248766886316,0.151864255144101,0.0709256097665581,2.14117658831473,0.0132361196266425,0.0281777410987077,0.0322598002628889,0.999491979020978,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","inside intron","inside",6642,"inside intron",25,2,7,"5' UTR","+",20132,NA,"19885",30387
"5545","chrX",7584279,0.192784730614905,0.0019396504022075,0.190845080212698,0.0895563206735479,2.13100626262181,0.0151392943933802,0.028172832763016,0.0330886262507417,0.999491979020978,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",1994,NA,NA,NA,11,NA,"+",8970,NA,"20371",31450
"4940","chrX",7567721,0.000759483077272221,0.224451869077438,-0.223692386000166,0.10714903027736,-2.08767531932979,0.0161676452670277,0.0259796757402708,0.0368271326399834,0.999491979020978,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","upstream","upstream",3433,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"5818","chrX",7595579,0.383344747522479,0.00327718145961737,0.380067566062861,0.183124209651865,2.07546324314738,0.0153308950922186,0.0281655409239547,0.037943622080554,0.999491979020978,"Ccdc22","NM_138603 NP_613069","inside exon","inside",1700,"inside exon",0,3,8,"inside transcription region","-",3469,NA,"54638",67892
"4523","chr12",119228916,0.000479325997043331,0.177763902510942,-0.177284576513898,0.0889138160665808,-1.99389233705978,0.0161847607034141,0.0262526909161899,0.0461638215696364,0.999491979020978,"Itgb8","NM_177290 NP_796264 XM_036157503 XP_036013396","inside intron","inside",9854,"inside intron",8755,1,3,"inside transcription region","-",37307,NA,"320910",59981
"2406","chr4",128803608,0.162179331196361,0.00122153354485652,0.160957797651505,0.0811179262547476,1.98424448310011,0.0140936068939185,0.0281777113610284,0.0472285918176345,0.999491979020978,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","inside intron","inside",2437,"inside intron",2403,1,7,"5' UTR","-",28961,13228,"230761",45394
