"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"3619","chr11",53614728,0.159339360014658,0.000283779149343182,0.159055580865315,0.0603362727307715,2.63615191437234,0.0295190747563541,0.028206664181807,0.00838521819368356,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",2496,"inside intron",-671,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3561","chr11",53612699,0.251420590574618,0.0568210776224042,0.194599512952214,0.0829917414668234,2.34480575431721,0.0311675875876134,0.0234148545264553,0.0190369945882348,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",4525,"inside intron",1204,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3720","chr11",53618504,0.235183955667954,0.039942908991606,0.195241046676348,0.0833857536788337,2.34141970375819,0.0308090089025358,0.0243240814305637,0.0192105577636062,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",152,NA,NA,NA,3,NA,"-",5892,NA,"16189",20502
"3559","chr11",53612693,0.174449296094034,0.0165335114703819,0.157915784623652,0.0674692953026348,2.34055778877365,0.030052945303631,0.0267502639166514,0.0192549582875956,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",4531,"inside intron",1210,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3564","chr11",53612722,0.155071933557513,0.000265385196089996,0.154806548361423,0.0661648521930778,2.33970972850777,0.0340078079949772,0.0282081826325764,0.019298732613496,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",4502,"inside intron",1181,2,4,"inside transcription region","-",14242,NA,"16189",20500
"2621","chr4",128806141,0.0045649667117411,0.704711810111374,-0.700146843399633,0.301715347712509,-2.32055428637582,0.0375506285139218,0.0281644458859651,0.0203109118239546,0.999957199785666,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","promoter","promoter",96,NA,NA,NA,7,NA,"-",28961,NA,"230761",45394
"3621","chr11",53614908,0.173607458429583,0.0262382552227099,0.147369203206873,0.0657592216131435,2.24104239058417,0.0283330217211787,0.0202894364989073,0.0250233292783145,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",2316,"inside intron",-851,2,4,"inside transcription region","-",14242,NA,"16189",20500
"472","chr2",9868768,0.310131603648157,0.0326849809132797,0.277446622734877,0.126742573871513,2.18905624416419,0.0361095468663212,0.0260839845371566,0.0285927522923284,0.999957199785666,"Gata3","NM_001355110 NM_001355111 NM_001355112 NM_008091 NP_001342039 NP_001342040 NP_001342041 NP_032117 XM_006497354 XM_030247532 XM_030247533 XP_006497417 XP_030103392 XP_030103393","inside exon","inside",4904,"inside exon",0,2,3,"inside transcription region","-",10489,NA,"14462",17664
"242","chr1",131021990,0.346877011838111,0.0428766415088726,0.304000370329239,0.138927102356979,2.18820061148397,0.0371784579879254,0.026221108896745,0.0286549925946731,0.999957199785666,"Il10","NM_010548 NP_034678 XM_036162094 XP_036017987","inside intron","inside",2145,"inside intron",498,4,5,"inside transcription region","+",5129,NA,"16153",20340
"1227","chr3",94378380,0.00142949173535703,0.290438542662293,-0.289009050926936,0.132400453259477,-2.18284034391135,0.0375786083890174,0.0274002874290845,0.0290475695028328,0.999957199785666,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","inside intron","inside",864,"inside intron",-776,1,7,"5' UTR","+",20132,NA,"19885",30387
"3622","chr11",53614909,0.181288702898391,0.0271140262332806,0.154174676665111,0.0709292118423396,2.17364147521909,0.0294787455707189,0.0244155530837633,0.0297320710517886,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",2315,"inside intron",-852,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3718","chr11",53618492,0.189425686305454,0.0264247019874871,0.163000984317967,0.0750794263081651,2.17104728063485,0.0310646589978286,0.0236077650471416,0.0299275985484325,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",140,NA,NA,NA,3,NA,"-",5892,NA,"16189",20502
"1345","chr3",94383792,0.32783635329498,0.000999143761190052,0.32683720953379,0.151576020115404,2.15625934290233,0.0357549386777731,0.0281764657269127,0.0310634200675085,0.999957199785666,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","inside intron","inside",6276,"inside intron",391,2,7,"5' UTR","+",20132,NA,"19885",30387
