"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","postprob.overThreshold","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"4913","chrX",7566770,0.0307259906712088,0.930137244611906,-0.899411253940697,0.120828555989252,-7.4436977796929,0.0215878413112371,0.0313219877146172,9.79053421286689e-14,5.6931956447821e-10,0.999999999981558,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","promoter","promoter",2482,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"4981","chrX",7570024,0.142061326092493,0.930137244611906,-0.788075918519413,0.142194232191507,-5.5422495439761,0.0181790235016122,0.0313219877146172,2.98610337849124e-08,8.68209557296329e-05,0.999999347695469,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","inside intron","inside",2819,"inside intron",2779,1,4,"inside transcription region","-",12601,NA,"54646",67915
"4985","chrX",7570072,0.134026442526062,0.91709351377175,-0.783067071245688,0.173390594744039,-4.51620269485586,0.0187030202201432,0.0312436837816424,6.29584042490316e-06,0.0122034373569373,0.999959345399413,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","inside intron","inside",2771,"inside intron",2731,1,4,"inside transcription region","-",12601,NA,"54646",67915
"5027","chrX",7571529,0.0723914988930008,0.795057841493306,-0.722666342600306,0.174282738783752,-4.14651701966299,0.0176549885045035,0.0305041257421668,3.37571097802598e-05,0.0490743983430527,0.999824542562709,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","inside intron","inside",1314,"inside intron",1274,1,4,"inside transcription region","-",12601,NA,"54646",67915
"4929","chrX",7567622,0.0279079216754228,0.762732095140549,-0.734824173465126,0.190147505398665,-3.86449547115797,0.021790583640765,0.0302770028260355,0.000111319055294936,0.0861746875921585,0.999584630219556,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","upstream","upstream",3334,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"4935","chrX",7567656,0.0292214992792114,0.762732095140549,-0.733510595861337,0.190567028840968,-3.84909498942478,0.0216899121044248,0.0302770028260355,0.00011855503022137,0.0861746875921585,0.999562971829799,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","upstream","upstream",3368,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"5433","chrX",7578920,0.104908350157751,0.795057841493306,-0.690149491335555,0.177482562915027,-3.88854814805654,0.0171030077125829,0.0305041257421668,0.00010084566632194,0.0861746875921585,0.999562339734066,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",647,NA,NA,NA,12,NA,"+",14232,NA,"20371",31443
"5100","chrX",7573395,0.310051367546358,0.89947969114285,-0.589428323596492,0.147851288311222,-3.98662960823016,0.0167802345160877,0.0295787104127061,6.70185247655253e-05,0.0779425443023059,0.999535535395803,"Flicr","NR_029473","promoter","promoter",205,NA,NA,NA,3,NA,"+",7427,NA,"78185",98587
"5447","chrX",7579622,0.0239896991590067,0.689089612078508,-0.665099912919501,0.175127889977071,-3.79779550251293,0.0221716089740852,0.0309145025499398,0.00014598868588024,0.0879158427375072,0.999380297224779,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",47,NA,NA,NA,13,NA,"+",15565,NA,"20371",31446
"5449","chrX",7579625,0.024516320029718,0.689089612078508,-0.66457329204879,0.17539034583713,-3.78910987874966,0.0222963294235743,0.0309145025499398,0.000151188035662093,0.0879158427375072,0.99936322724781,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",44,NA,NA,NA,13,NA,"+",15565,NA,"20371",31446
"4887","chrX",7565503,0.197912103203566,0.896563501037627,-0.698651397834061,0.203839130951686,-3.42746456272743,0.0194067731450164,0.0311961826565374,0.000609245815864562,0.269918937620497,0.998386981415474,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","promoter","promoter",1215,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"5437","chrX",7579244,0.0635616379722832,0.689089612078508,-0.625527974106225,0.180227757842809,-3.47076378019304,0.0173341056127373,0.0309145025499398,0.000518980329524354,0.269918937620497,0.998255150745088,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",323,NA,NA,NA,12,NA,"+",14232,NA,"20371",31443
"5451","chrX",7579640,0.228727848937224,0.822353190824985,-0.593625341887761,0.175239387726053,-3.38751093341959,0.0170265132590488,0.0304045869373374,0.000705299060035456,0.269918937620497,0.997613004272774,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",29,NA,NA,NA,13,NA,"+",15565,NA,"20371",31446
"4990","chrX",7570321,0.209294536618696,0.716523366412549,-0.507228829793853,0.148925854316558,-3.40591519264132,0.0163177264084043,0.0301838309923927,0.000659426599881811,0.269918937620497,0.996898448950426,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","inside intron","inside",2522,"inside intron",2482,1,4,"inside transcription region","-",12601,NA,"54646",67915
"5098","chrX",7573390,0.326540829447572,0.836881467311085,-0.510340637863513,0.157334683081432,-3.24366266781353,0.0165551405939944,0.0326881867306279,0.00118003408383255,0.403641070440368,0.99549973799413,"Flicr","NR_029473","promoter","promoter",210,NA,NA,NA,3,NA,"+",7427,NA,"78185",98587
"1162","chr3",94375145,0.399678583340366,0.833037526951438,-0.433358943611072,0.128466701802777,-3.3733172684418,0.0142610573571764,0.0301414914905991,0.000742683233349605,0.269918937620497,0.995285651357258,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","promoter","promoter",2287,NA,NA,NA,10,NA,"+",20844,NA,"19885",30385
"1766","chr4",128785072,0.0991669150189917,0.69997898890305,-0.600812073884058,0.196283489891347,-3.06094045004314,0.0182469604848068,0.0299865933971593,0.00220642972943456,0.610970898888664,0.994814785139811,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",5020,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"5088","chrX",7573232,0.139586329259329,0.660508386399099,-0.520922057139769,0.168988290148175,-3.08259262628794,0.0174545996124629,0.0318957635088351,0.00205205856870599,0.596636028851266,0.993747075180198,"Flicr","NR_029473","promoter","promoter",368,NA,NA,NA,3,NA,"+",7427,NA,"78185",98587
"5445","chrX",7579613,0.122467556058563,0.689089612078508,-0.566622056019945,0.189925596678967,-2.98338963219219,0.0171955431809614,0.0309145025499398,0.00285074829643454,0.675558460482512,0.993216412488766,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","inside exon","inside",46,"inside exon",0,1,12,"5' UTR","+",14232,NA,"20371",31443
"1630","chr4",128780033,0.957192553399449,0.302372343690152,0.654820209709296,0.229992457825929,2.84713775355582,0.0217859067492476,0.03074225838474,0.00441142686581355,0.85508157415686,0.992590260466686,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",10059,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"4983","chrX",7570061,0.424277780587114,0.930137244611906,-0.505859464024792,0.168869237996009,-2.99556905702831,0.017711711696689,0.0313219877146172,0.00273933266392562,0.675558460482512,0.992044958326745,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","inside intron","inside",2782,"inside intron",2742,1,4,"inside transcription region","-",12601,NA,"54646",67915
"5545","chrX",7584279,0.475174122546479,0.951175452992683,-0.476001330446205,0.1589095070362,-2.99542386937095,0.0437341668316933,0.0315540757008431,0.00274063705486434,0.675558460482512,0.991157194586252,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",1994,NA,NA,NA,11,NA,"+",8970,NA,"20371",31450
"5581","chrX",7586504,0.281793879779018,0.777263137341348,-0.49546925756233,0.170272049904624,-2.90986840083185,0.0163060238190666,0.0289332426257532,0.00361580969184949,0.750926191360885,0.990134063874606,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","inside exon","inside",149,"inside exon",0,1,10,"inside transcription region","+",6693,NA,"20371",31451
"4898","chrX",7566270,0.274750856587891,0.73083058452802,-0.456079727940129,0.153166067586911,-2.9776812522874,0.0162040417616666,0.027958449640486,0.00290437859192826,0.675558460482512,0.990099940650069,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","promoter","promoter",1982,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"2346","chr4",128802085,0.604766273634851,0.971516806677793,-0.366750533042942,0.116922717016218,-3.13669184570927,0.0157889973899125,0.0317303855894929,0.00170865609808089,0.529179359791783,0.988771141187009,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","inside intron","inside",3960,"inside intron",3926,1,7,"5' UTR","-",28961,NA,"230761",45394
"2900","chr8",115703338,0.619926746962231,0.924103813459477,-0.304177066497246,0.0898244347866879,-3.38635102151877,0.012149289799938,0.0345426828400909,0.000708287220129817,0.269918937620497,0.988492368398239,"Maf","NM_001025577 NP_001020748","inside exon","inside",4456,"inside exon",0,1,1,"3'UTR","-",6359,NA,"17132",23213
"5450","chrX",7579626,0.035895129023298,0.563907799513342,-0.528012670490044,0.191653563450471,-2.75503706262418,0.0221567345306864,0.0296257102832199,0.00586854873153493,0.987624193635246,0.987759104173466,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","promoter","promoter",43,NA,NA,NA,13,NA,"+",15565,NA,"20371",31446
"4902","chrX",7566501,0.11781311775661,0.553844621538458,-0.436031503781848,0.150888332629226,-2.88976288745464,0.0170759987939377,0.0272759617914377,0.00385532501603248,0.773059136835479,0.987217860037483,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","promoter","promoter",2213,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"5102","chrX",7573416,0.4526351837829,0.890377873434728,-0.437742689651828,0.15913106513706,-2.75083114208278,0.0167344079055705,0.030000490542407,0.00594442764870741,0.987624193635246,0.983462115291982,"Flicr","NR_029473","promoter","promoter",184,NA,NA,NA,3,NA,"+",7427,NA,"78185",98587
"5030","chrX",7571706,0.0801571224859333,0.50601180199038,-0.425854679504446,0.156454873256937,-2.7219010225721,0.0178216044238641,0.0287773476945631,0.00649075794611362,0.999920290668695,0.981750709236929,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","inside intron","inside",1137,"inside intron",1097,1,4,"inside transcription region","-",12601,NA,"54646",67915
"5118","chrX",7573493,0.447170771148352,0.886020436193562,-0.43884966504521,0.163605078954762,-2.68237189119633,0.0169648136106748,0.0311628171979175,0.00731021444630885,0.999920290668695,0.981321891880964,"Flicr","NR_029473","promoter","promoter",107,NA,NA,NA,3,NA,"+",7427,NA,"78185",98587
"2418","chr4",128804130,0.445799019342651,0.846175159531224,-0.400376140188573,0.144948253190931,-2.76220051897543,0.0152090116059794,0.0280452814919697,0.00574132059343933,0.987624193635246,0.981159342439011,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","inside intron","inside",1915,"inside intron",1881,1,7,"5' UTR","-",28961,NA,"230761",45394
