"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"1785","chr4",128785419,0.49731405112064,0.00132147222287439,0.495992578897765,0.194670788552579,2.54785313495456,0.0256686518846506,0.0374780918438621,0.0108388090920111,0.999948847402363,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",4673,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"4184","chr11",97114450,0.608939990399554,0.117598382215139,0.491341608184415,0.204923321808994,2.39768516265995,0.0245176255729672,0.0372723232967275,0.0164990396812803,0.999948847402363,"Tbx21","NM_019507 NP_062380","inside intron","inside",881,"inside intron",199,1,6,"inside transcription region","-",17260,NA,"57765",70992
"1869","chr4",128787459,0.00385848843336606,0.370382702916965,-0.366524214483599,0.152971451548796,-2.39603017930885,0.0263548189962619,0.0352965999585645,0.016573725637301,0.999948847402363,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2633,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1021","chr2",9879391,0.0115585053797992,0.71831535993437,-0.706756854554571,0.303111297260496,-2.33167440785679,0.0263424518743668,0.0374620317246036,0.0197178261360148,0.999948847402363,"Gata3","NM_001355110 NM_001355111 NM_001355112 NM_008091 NP_001342039 NP_001342040 NP_001342041 NP_032117 XM_006497354 XM_030247532 XM_030247533 XP_006497417 XP_030103392 XP_030103393","promoter","promoter",791,NA,NA,NA,6,NA,"-",21522,NA,"14462",17663
"3368","chr10",118439748,0.501697357333376,0.0564489979571924,0.445248359376184,0.193904552517303,2.29622437222795,0.0244549635933138,0.0351921854604427,0.0216630556951227,0.999948847402363,"Ifng","NM_008337 NP_032363","promoter","promoter",1298,NA,NA,NA,4,NA,"+",4846,NA,"15978",20216
"1626","chr4",128779687,0.702008075477115,0.0029193831443117,0.699088692332803,0.309539210060657,2.2584818646911,0.0266211726527395,0.037464316592869,0.0239156339658685,0.999948847402363,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",10405,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"5022","chrX",7570320,0.702008075477115,0.00765861347474467,0.69434946200237,0.318376517728145,2.18090664147304,0.0266211726527395,0.0374620317246035,0.0291903223895057,0.999948847402363,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","inside intron","inside",2523,"inside intron",2483,1,4,"inside transcription region","-",12601,NA,"54646",67915
"1911","chr4",128788548,0.429032363949097,0.00166155294559424,0.427370811003503,0.203912430549599,2.09585462667295,0.0255855920987411,0.0374703886644055,0.0360950887621197,0.999948847402363,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","close to 3'","close to 3'",1544,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1008","chr2",9879221,0.429032363949097,0.00170956933092071,0.427322794618177,0.203956172159541,2.09516971265724,0.0255855920987411,0.0374737237027064,0.0361559086228813,0.999948847402363,"Gata3","NM_001355110 NM_001355111 NM_001355112 NM_008091 NP_001342039 NP_001342040 NP_001342041 NP_032117 XM_006497354 XM_030247532 XM_030247533 XP_006497417 XP_030103392 XP_030103393","promoter","promoter",621,NA,NA,NA,6,NA,"-",21522,NA,"14462",17663
"1374","chr4",128772469,0.860892944571921,0.448872599987136,0.412020344584785,0.199385071892221,2.06645533025414,0.0249711339222831,0.0392619598304267,0.0387855061024699,0.999948847402363,"A3galt2","NM_001009819 NP_001009819","downstream","downstream",13211,NA,NA,NA,5,NA,"+",10040,NA,"215493",36735
"3942","chr11",97104350,0.244527318229279,0.00086765343739995,0.243659664791879,0.121906249562734,1.99874629615678,0.0230753916428725,0.0374832455250811,0.0456358110903275,0.999948847402363,"Tbx21","NM_019507 NP_062380","inside intron","inside",10981,"inside intron",-2251,2,6,"inside transcription region","-",17260,NA,"57765",70992
"1857","chr4",128787202,0.373762641334695,0.00129388302792366,0.372468758306771,0.188023931088243,1.98096463652792,0.0251529359723017,0.0374757790960299,0.0475952395259514,0.999948847402363,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2890,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"1863","chr4",128787420,0.373762641334695,0.00151487460006671,0.372247766734628,0.188135131884999,1.97861910747309,0.0251529359723017,0.0374723407422104,0.0478589067132178,0.999948847402363,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",2672,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
