"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","postprob.overThreshold","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"3689","chr11",53617457,0.069024178980843,0.788063401794263,-0.71903922281342,0.0685273827758754,-10.4927285077426,0.0203478424363038,0.0210523341153065,9.32946332040008e-26,8.85210578050628e-23,1,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",119,NA,NA,NA,3,NA,"-",4878,NA,"16189",20501
"3691","chr11",53617661,0.0376519055367809,0.806953406437079,-0.769301500900298,0.0627036280464839,-12.2688514981939,0.0259371133262433,0.0212725330741224,1.33128291002268e-34,1.51579872135182e-31,1,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",323,NA,NA,NA,3,NA,"-",4878,NA,"16189",20501
"3692","chr11",53617662,0.0234583777844548,0.883151796108475,-0.859693418324021,0.054568720850238,-15.7543260118451,0.0270261071292897,0.0242539862950337,6.41395179863533e-56,1.2171542529877e-52,1,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",324,NA,NA,NA,3,NA,"-",4878,NA,"16189",20501
"3693","chr11",53617862,0.0176411893029926,0.944393588002567,-0.926752398699575,0.0414945391158393,-22.3343220203599,0.027330493568417,0.0301178518922964,1.71511382516878e-110,9.76414300668585e-107,1,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",490,"inside intron",307,1,3,"5' UTR","-",5892,NA,"16189",20502
"3694","chr11",53617863,0.0656614828442673,0.909269915864136,-0.843608433019869,0.0617803380471001,-13.6549662835564,0.0353370808441287,0.0203148373422835,1.88576600078667e-42,2.68391646061963e-39,1,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",489,"inside intron",306,1,3,"5' UTR","-",5892,NA,"16189",20502
"3695","chr11",53617968,0.016324655185531,0.888189581071074,-0.871864925885544,0.0487123456422089,-17.8982332792876,0.027050158775276,0.0224533697348604,1.21722461121564e-71,3.46482985582531e-68,1,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",384,"inside intron",201,1,3,"5' UTR","-",5892,NA,"16189",20502
"3635","chr11",53615513,0.132530348694712,0.839672160254717,-0.707141811560005,0.0754729044473652,-9.36947924209231,0.0203657933908738,0.0254498860797923,7.28912691121687e-21,5.92814278650823e-18,1,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",1711,"inside intron",-1456,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3632","chr11",53615390,0.0976670573142403,0.798541949876209,-0.700874892561968,0.0760785302537158,-9.21251883053743,0.0231106506818596,0.022157601112436,3.18560233436695e-20,2.26695426119388e-17,0.999999999999999,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",1834,"inside intron",-1333,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3636","chr11",53615514,0.161394128667105,0.858293780471743,-0.696899651804638,0.0785293385652358,-8.87438586058777,0.0214649798152459,0.024785186863437,7.03203622691236e-19,4.44815358220134e-16,0.999999999999985,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",1710,"inside intron",-1457,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3630","chr11",53615381,0.141011165498371,0.806511302055991,-0.66550013655762,0.0783391805581466,-8.49511230288729,0.0202651338133979,0.0213918189735759,1.97741626157527e-17,1.1257430777148e-14,0.999999999999737,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",1843,"inside intron",-1324,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3690","chr11",53617458,0.133407117058285,0.814650656684504,-0.681243539626219,0.0836126173523852,-8.14761648657786,0.0347883412356925,0.0203874000826608,3.71167292788737e-16,1.92095945258753e-13,0.999999999998194,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",120,NA,NA,NA,3,NA,"-",4878,NA,"16189",20501
"3621","chr11",53614908,0.114221255133122,0.735839488419218,-0.621618233286096,0.0783392971781428,-7.93494779347512,0.0200075345790905,0.0212096961014233,2.10583886466931e-15,9.99045054713532e-13,0.999999999986163,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",2316,"inside intron",-851,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3698","chr11",53618063,0.044450021007923,0.645705735813874,-0.601255714805951,0.0778066837229598,-7.72755868823294,0.0255858729661325,0.0210311867669615,1.09628627222886e-14,4.80089057522993e-12,0.99999999994117,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",289,"inside intron",106,1,3,"5' UTR","-",5892,NA,"16189",20502
"3737","chr11",53619012,0.136619078406657,0.766488541945108,-0.629869463538451,0.0826606799555848,-7.61994050710559,0.0294720402478942,0.022910699513535,2.5379266130238e-14,1.03202972913889e-11,0.999999999927324,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",343,NA,NA,NA,4,NA,"-",6209,NA,"16189",20503
"3738","chr11",53619013,0.134878715587929,0.773946378196234,-0.639067662608306,0.0843472839749571,-7.57662407716704,0.0226333638818112,0.0239684232219368,3.54662510188268e-14,1.3460624470012e-11,0.999999999917624,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",344,NA,NA,NA,4,NA,"-",6209,NA,"16189",20503
"3696","chr11",53617969,0.0140729521947347,0.658735952315259,-0.644663000120524,0.0878407476168897,-7.33899719219342,0.0405086226226141,0.0252505424232051,2.15200126620378e-13,7.20667247558714e-11,0.999999999718711,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",383,"inside intron",200,1,3,"5' UTR","-",5892,NA,"16189",20502
"3631","chr11",53615389,0.0724580121567138,0.667709441794729,-0.595251429638016,0.0807364900542383,-7.37276823946805,0.0286656603689388,0.0213566154954252,1.6712087738581e-13,5.94636971848384e-11,0.999999999571978,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",1835,"inside intron",-1332,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3697","chr11",53618062,0.0371286249497444,0.537848900452248,-0.500720275502504,0.078345619654879,-6.39117129596053,0.0182782052324338,0.0242836503975447,1.64619839928032e-10,5.20655971505714e-08,0.999999842943056,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",290,"inside intron",107,1,3,"5' UTR","-",5892,NA,"16189",20502
"3717","chr11",53618491,0.41558887329367,0.923394995535606,-0.507806122241936,0.080119265802768,-6.33812750471301,0.0188677214360974,0.0267862548834249,2.32574327912762e-10,6.9686613095124e-08,0.999999820957174,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",139,NA,NA,NA,3,NA,"-",5892,NA,"16189",20502
"469","chr2",9868719,0.270966806569327,0.948675832988712,-0.677709026419385,0.114263152410241,-5.93112488255354,0.0293260087420222,0.0294199847372595,3.00866261707174e-09,8.15634108523307e-07,0.999999785880607,"Gata3","NM_001355110 NM_001355111 NM_001355112 NM_008091 NP_001342039 NP_001342040 NP_001342041 NP_032117 XM_006497354 XM_030247532 XM_030247533 XP_006497417 XP_030103392 XP_030103393","inside intron","inside",4953,"inside intron",41,2,3,"inside transcription region","-",10489,NA,"14462",17664
"3622","chr11",53614909,0.155637302721535,0.673581454155638,-0.517944151434103,0.0866952824969304,-5.97430605814614,0.0205967452675524,0.0199512756444938,2.31071640833532e-09,6.57745425632649e-07,0.999999285228312,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",2315,"inside intron",-852,2,4,"inside transcription region","-",14242,NA,"16189",20500
"244","chr1",131022065,0.0929979796948163,0.812299773377422,-0.719301793682606,0.128863895810936,-5.58187216951703,0.042761608024182,0.0279704588417501,2.37943241323044e-08,5.88961249066126e-06,0.999999229662321,"Il10","NM_010548 NP_034678 XM_036162094 XP_036017987","inside intron","inside",2220,"inside intron",423,4,5,"inside transcription region","+",5129,NA,"16153",20340
"3735","chr11",53618997,0.0679639309557494,0.608315559824918,-0.540351628869169,0.0928401819968799,-5.82023448518582,0.0206226279998874,0.0409246742836077,5.8765126089825e-09,1.52068119467897e-06,0.999998947717337,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",328,NA,NA,NA,4,NA,"-",6209,NA,"16189",20503
